GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
exercice10,com.example,UserService,0,40,1,5,0,11,1,5,0,3
exercice10,com.example,User,6,15,0,0,2,6,2,2,2,2
exercice10,com.example,Product,12,15,0,0,4,6,4,1,4,1
exercice10,com.example,ProductService,0,16,0,0,0,5,0,3,0,3
